ma tanbeta expm2 expm1 exp expp1 expp2 obs
200 40.0 0.8452940171416821 1.1114420154634146 1.5132466544006162 2.0320404202814193 2.5840913585776377 1.4972070916825548
250 40.0 1.1331773785712878 1.483012533636262 2.0286832445778145 2.7483698960542644 3.5233268954829895 2.083412610331536
300 40.0 1.440627256346525 1.8941798621039523 2.5790370515483745 3.5144893009230684 4.545759972200989 3.04689902465997
350 40.0 1.8291553485357925 2.4051127527393064 3.2746103883833286 4.462426451221003 5.77178227716898 4.101243554001842
400 40.0 2.4007421592526677 3.168657856968764 4.328119141984627 5.915236335800002 7.698446288139307 5.04356060035679
450 40.0 2.9190477884073673 3.8528076305178454 5.262509959027078 7.192430590687963 9.394949580890612 6.144058603785364
500 40.0 3.6745632114823845 4.849894386122996 6.624486831015466 9.08023505686391 11.889379838306079 8.172238728559389
10 45.0 0.2581344253418167 0.3386068080991704 0.4525137449960356 0.5860061192442321 0.7311350294919646 0.4040008625190973
50 45.0 0.3065449277026561 0.4052937543183316 0.5449872163600189 0.7101776420442732 0.891480155502658 0.5099392728513434
100 45.0 0.4427680046842701 0.5837705235738901 0.7899155363448191 1.0323159473813097 1.2998355719967112 0.740598147018224
150 45.0 0.5628775405694069 0.7400455533387938 1.007643072625889 1.3329544142545269 1.6913169855380596 1.0383454839296746
200 45.0 0.7799544825473577 1.0255297736324338 1.3962757187026507 1.8749677655062125 2.3843462719039934 1.381475982059117
250 45.0 1.0544071911430455 1.3799243698218344 1.8876640516166872 2.557323360950216 3.2784110286677905 1.938589032920302
300 45.0 1.335481910979072 1.7559316130085678 2.390803946624193 3.257981457060028 4.213984004386281 2.8245186352592517
350 45.0 1.7161586723292406 2.256536117529465 3.0723202493555215 4.1867585823285065 5.415228519375774 3.847887877958952
400 45.0 2.20864080703361 2.915109821126079 3.981793928951648 5.4419139948634765 7.0824359697310575 4.639987560414466
450 45.0 2.7152159962230775 3.5837730887098704 4.895038470346377 6.690196258217198 8.738917357588507 5.715030178328115
500 45.0 3.414034536933408 4.506034045886962 6.154806851566872 8.436441096110801 11.046415874370455 7.592822236989369
10 50.0 0.2403826745618395 0.3153210194569908 0.4213946441049137 0.5457068272354648 0.6808553087113436 0.3762179636793235
50 50.0 0.28883519979871625 0.38187910458350993 0.5135021894010231 0.6691492260847528 0.8399775222539746 0.4804790373243342
100 50.0 0.41986927898700316 0.553579541054725 0.7490633089945891 0.9789274471692061 1.2326117032893789 0.7022964774281473
150 50.0 0.5344049528565331 0.70261110195236 0.9566724729825151 1.265528271369644 1.6057634365862028 0.9858218340474167
200 50.0 0.7395787353576768 0.9724413796271341 1.3239949937540572 1.777906685426731 2.2609162968974608 1.3099613921075832
250 50.0 0.9952158429271123 1.3024594354284806 1.7816960905362846 2.413762676965646 3.094370583550507 1.8297622917343082
300 50.0 1.2627648190975218 1.6603210027927746 2.260624489434848 3.0805841183063074 3.984532254036708 2.6707233802035533
350 50.0 1.6177009986180315 2.1270764700274474 2.896058281552259 3.946560215444969 5.104551650605422 3.627130849326394
400 50.0 2.0996146182024016 2.7712098656377684 3.7852387374500016 5.173282200631598 6.7328223073547235 4.410941642977285
450 50.0 2.55244274736409 3.3689311057390285 4.601588035384168 6.289128725479817 8.215031975437121 5.372422433401881
500 50.0 3.227260843400539 4.25951966156233 5.818092036232542 7.974903508618072 10.44209278658778 7.177437026851798
